year,month,mileage,daily_km,hybrid,displace_cc,weight_kg,age_month,temp_ave,gasprice,pop_density
2006,11,16.42,58.8,0,980,1145,33,12.7,139.375,105
2006,11,12.53,22,0,1240,1195,50,13.2,138.15,1448
2006,11,13.44,30.5,0,1290,1305,8,13.6,137.825,338
2006,11,8.61,9.7,0,1290,1205,12,12.7,134.1,166
2006,11,10.73,7.1,0,1320,1215,38,13.6,137.825,338
2006,11,13,28.9,0,1320,1195,30,10,137.425,143
2006,11,15.08,37.1,0,1330,1345,56,7,136.825,65
2006,11,17.73,24.2,0,1330,1125,122,12.7,139.375,105
2006,11,16.64,20.8,1,1330,1465,47,13.3,136.3,559
2006,11,14.76,16.9,0,1330,1175,88,14.5,138.8,487
2006,11,8.13,25.7,0,1330,1255,128,7,136.825,65
2006,11,10.72,34.7,0,1340,1375,42,6.2,136.825,65
2006,11,10.85,38.6,0,1380,1355,55,14.5,138.8,487
2006,11,20.16,41.6,0,1460,1465,57,12.7,138.5,234
2006,11,19.53,74.5,1,1490,1525,26,13.2,137.475,197
2006,11,10.1,4.8,1,1490,1515,97,12,136,378
2006,11,9.51,25.6,0,1490,1455,69,11.3,137.05,186
2006,11,8.58,8.7,0,1490,1465,116,8.3,141.1,158
2006,11,13.43,1.9,0,1490,1255,141,14.6,139.625,188
2006,11,16.83,9.6,1,1490,1495,66,17,143.75,184
2006,11,21.43,15,1,1490,1565,33,13.6,136.475,273
2006,11,13.04,33.3,0,1490,1335,76,12.7,134.1,166
2006,11,16.18,15,1,1490,1565,33,12.7,139.375,105
2006,11,8.48,18.8,0,1490,1355,69,15.6,141.15,147
2006,11,20.76,37.4,1,1490,1545,17,14.4,139.95,251
2006,11,20.64,23.5,1,1490,1525,32,10.1,135.1,320
2006,11,17.43,7,1,1490,1495,77,14.1,136.65,536
2006,11,23.9,111,1,1490,1525,27,14.4,139.95,251
2006,11,11.36,41.8,0,1490,1325,74,14.8,136.75,4656
2006,11,10.84,22.9,0,1490,1375,75,12.7,138.5,234
2006,11,31.1,17.3,1,1490,1525,22,10,137.425,143
2006,11,17.44,41.3,1,1490,1515,81,14.4,139.95,251
2006,11,15.44,47.7,0,1490,1335,45,14.6,139.625,188
2006,11,7.75,25.1,0,1490,1335,109,13.6,137.825,338
2006,11,10.74,8.3,0,1490,1335,18,13.6,136.475,273
2006,11,13.96,25.2,1,1490,1515,84,6.2,136.825,65
2006,11,19.33,53.8,1,1490,1515,87,12.7,139.375,105
2006,11,13.19,11.1,0,1580,1445,83,5.8,136.825,65
2006,11,8.41,6.8,0,1580,1415,122,14.8,139.25,245
2006,11,8.57,23.8,0,1580,1425,26,13.2,138.15,1448
2006,11,8.36,29.9,0,1580,1550,101,13.6,136.475,273
2006,11,10.14,9.5,0,1790,1625,42,13.6,136.475,273
2006,11,15.12,39.6,0,1790,1485,51,11.3,137.05,186
2006,11,10.24,10.3,0,1790,1445,17,14.4,137.925,6069
2006,11,10.81,22.6,0,1830,1515,109,12.7,139.375,105
2006,11,6.56,4.4,0,1990,1615,132,15.6,144.225,342
