year,num,prefecture,pop.1000,GRP.mill,goods,ton
2000,15,Niigata,2476,9548687,agriculture,2251974
2000,15,Niigata,2476,9548687,wood,1081094
2000,15,Niigata,2476,9548687,mine,24914301
2000,15,Niigata,2476,9548687,machine,4879100
2000,15,Niigata,2476,9548687,chemical,26711970
2000,15,Niigata,2476,9548687,Smachine,5520451
2000,15,Niigata,2476,9548687,miscind,1517220
2000,15,Niigata,2476,9548687,special,3079613
2000,15,Niigata,2476,9548687,total,69955723
2000,16,Toyama,1121,4773915,agriculture,787074
2000,16,Toyama,1121,4773915,wood,851231
2000,16,Toyama,1121,4773915,mine,14649002
2000,16,Toyama,1121,4773915,machine,5535150
2000,16,Toyama,1121,4773915,chemical,12269354
2000,16,Toyama,1121,4773915,Smachine,2780929
2000,16,Toyama,1121,4773915,miscind,1136857
2000,16,Toyama,1121,4773915,special,489579
2000,16,Toyama,1121,4773915,total,38499176
2000,17,Ishikawa,1181,4984154,agriculture,896891
2000,17,Ishikawa,1181,4984154,wood,457198
2000,17,Ishikawa,1181,4984154,mine,5682562
2000,17,Ishikawa,1181,4984154,machine,3009821
2000,17,Ishikawa,1181,4984154,chemical,13053959
2000,17,Ishikawa,1181,4984154,Smachine,2844702
2000,17,Ishikawa,1181,4984154,miscind,981832
2000,17,Ishikawa,1181,4984154,special,479777
2000,17,Ishikawa,1181,4984154,total,27406742
2000,18,Fukui,829,3306874,agriculture,471162
2000,18,Fukui,829,3306874,wood,304279
2000,18,Fukui,829,3306874,mine,6955323
2000,18,Fukui,829,3306874,machine,1451503
2000,18,Fukui,829,3306874,chemical,8351815
2000,18,Fukui,829,3306874,Smachine,2172466
2000,18,Fukui,829,3306874,miscind,493261
2000,18,Fukui,829,3306874,special,323464
2000,18,Fukui,829,3306874,total,20523273
2000,19,Yamanashi,888,3199643,agriculture,338536
2000,19,Yamanashi,888,3199643,wood,105059
2000,19,Yamanashi,888,3199643,mine,11663039
2000,19,Yamanashi,888,3199643,machine,1110844
2000,19,Yamanashi,888,3199643,chemical,5946491
2000,19,Yamanashi,888,3199643,Smachine,1445348
2000,19,Yamanashi,888,3199643,miscind,493496
2000,19,Yamanashi,888,3199643,special,235474
2000,19,Yamanashi,888,3199643,total,21338287
2000,20,Nagano,2215,8619046,agriculture,2618225
2000,20,Nagano,2215,8619046,wood,705944
2000,20,Nagano,2215,8619046,mine,38036922
2000,20,Nagano,2215,8619046,machine,6311846
2000,20,Nagano,2215,8619046,chemical,12852836
2000,20,Nagano,2215,8619046,Smachine,4958317
2000,20,Nagano,2215,8619046,miscind,1100549
2000,20,Nagano,2215,8619046,special,1982883
2000,20,Nagano,2215,8619046,total,68567522
2000,21,Gifu,2108,7573561,agriculture,1436752
2000,21,Gifu,2108,7573561,wood,487736
2000,21,Gifu,2108,7573561,mine,34425996
2000,21,Gifu,2108,7573561,machine,4569365
2000,21,Gifu,2108,7573561,chemical,21072780
2000,21,Gifu,2108,7573561,Smachine,3114833
2000,21,Gifu,2108,7573561,miscind,2494201
2000,21,Gifu,2108,7573561,special,2360522
2000,21,Gifu,2108,7573561,total,69962185
2000,22,Shizuoka,3767,15990240,agriculture,4685885
2000,22,Shizuoka,3767,15990240,wood,2784660
2000,22,Shizuoka,3767,15990240,mine,16176853
2000,22,Shizuoka,3767,15990240,machine,17962190
2000,22,Shizuoka,3767,15990240,chemical,28414679
2000,22,Shizuoka,3767,15990240,Smachine,18860274
2000,22,Shizuoka,3767,15990240,miscind,3706456
2000,22,Shizuoka,3767,15990240,special,8440235
2000,22,Shizuoka,3767,15990240,total,101031232
2000,23,Aichi,7043,33361055,agriculture,10769294
2000,23,Aichi,7043,33361055,wood,5674483
2000,23,Aichi,7043,33361055,mine,35539266
2000,23,Aichi,7043,33361055,machine,70979783
2000,23,Aichi,7043,33361055,chemical,63221446
2000,23,Aichi,7043,33361055,Smachine,20220032
2000,23,Aichi,7043,33361055,miscind,7079238
2000,23,Aichi,7043,33361055,special,14867291
2000,23,Aichi,7043,33361055,total,228350833
2000,24,Mie,1857,7170027,agriculture,2168221
2000,24,Mie,1857,7170027,wood,738591
2000,24,Mie,1857,7170027,mine,28375499
2000,24,Mie,1857,7170027,machine,6116020
2000,24,Mie,1857,7170027,chemical,39356195
2000,24,Mie,1857,7170027,Smachine,2771248
2000,24,Mie,1857,7170027,miscind,1866999
2000,24,Mie,1857,7170027,special,1641253
2000,24,Mie,1857,7170027,total,83034026
2000,25,Shiga,1343,5822657,agriculture,334174
2000,25,Shiga,1343,5822657,wood,200074
2000,25,Shiga,1343,5822657,mine,9489306
2000,25,Shiga,1343,5822657,machine,6534452
2000,25,Shiga,1343,5822657,chemical,15481957
2000,25,Shiga,1343,5822657,Smachine,3098003
2000,25,Shiga,1343,5822657,miscind,1538201
2000,25,Shiga,1343,5822657,special,1123220
2000,25,Shiga,1343,5822657,total,37799387
2000,26,Kyoto,2644,9776633,agriculture,2129506
2000,26,Kyoto,2644,9776633,wood,276701
2000,26,Kyoto,2644,9776633,mine,13248829
2000,26,Kyoto,2644,9776633,machine,3870097
