0,1,1,2,2,6,300,300,0,1,1,1
1,0,2,3,2,2,500,700,1,0,1,1
0,1,1,3,2,4,300,300,0,1,1,1
1,0,1,3,6,2,700,700,0,1,1,1
0,1,2,2,4,6,700,300,1,0,1,1
0,1,1,3,4,2,500,700,1,0,1,1
0,1,2,3,4,4,700,300,1,0,1,1
0,1,2,3,4,2,700,700,1,0,1,1
1,0,1,2,2,4,300,700,1,0,1,1
0,1,2,2,2,6,500,300,1,0,1,1
1,0,1,1,2,6,300,700,1,0,1,1
0,1,2,3,2,4,500,300,1,0,1,1
0,1,1,3,4,4,500,300,1,0,1,1
0,1,1,3,6,4,700,300,0,1,1,1
1,0,1,3,2,2,300,700,0,1,1,1
1,0,2,2,2,4,500,700,0,1,1,1
0,1,1,3,4,6,500,500,0,1,1,1
0,1,1,2,4,6,500,300,0,1,1,1
1,0,1,1,4,6,500,700,0,1,1,1
1,0,1,2,6,2,700,500,0,1,1,1
0,1,2,3,2,6,500,500,0,1,1,1
1,0,1,2,4,2,500,500,0,1,1,1
1,0,2,3,6,4,300,300,0,1,1,1
0,1,3,3,2,6,700,500,0,1,1,1
0,1,1,2,6,6,700,300,1,0,1,1
0,1,2,3,4,6,700,500,1,0,1,1
1,0,3,3,4,6,300,500,1,0,1,1
1,0,1,2,2,2,300,500,0,1,1,1
1,0,1,3,2,6,300,500,0,1,1,1
1,0,2,3,6,2,300,700,0,1,1,1
1,0,2,3,6,6,300,500,0,1,1,1
0,1,3,3,2,4,700,300,0,1,1,1
1,0,1,2,4,4,500,700,0,1,1,1
0,1,1,1,2,4,300,500,0,1,1,1
0,1,1,3,6,6,700,500,0,1,1,1
1,0,1,2,6,4,700,700,0,1,1,1
