mode,time_1ibaraki,time_2tokyo,time_3hachinohe,time_4rail,time_5seikan,cost_1ibaraki,cost_2tokyo,cost_3hachinohe,cost_4rail,cost_5seikan,w1_al1,w1_al2,w1_al3,w1_al4,w1_al5,w2_al1,w2_al2,w2_al3,w2_al4,w2_al5,w3_al1,w3_al2,w3_al3,w3_al4,w3_al5,w4_al1,w4_al2,w4_al3,w4_al4,w4_al5,goods
1,22.012,37.442,16.41,19.937,17.04,314.32,351.09,264.98,181.4,323.17,3.558348509,0,0,0,0,0,3.558348509,0,0,0,0,0,3.558348509,0,0,0,0,0,3.558348509,0,6
1,21.702,36.95,16.805,25.447,17.493,308.18,342.76,278.16,170.9,340.4,2.338456494,0,0,0,0,0,2.338456494,0,0,0,0,0,2.338456494,0,0,0,0,0,2.338456494,0,7
1,22.922,36.383,18.212,30.475,18.902,317.53,331.73,291.67,185.2,356.94,3.698970004,0,0,0,0,0,3.698970004,0,0,0,0,0,3.698970004,0,0,0,0,0,3.698970004,0,6
1,25.875,40.215,20.26,38.017,21.083,375.79,382.94,324.71,211,400.64,0.77815125,0,0,0,0,0,0.77815125,0,0,0,0,0,0.77815125,0,0,0,0,0,0.77815125,0,4
1,22.48,35.915,17.585,18.917,18.273,323.76,320.32,289.83,184.8,360.49,3.025715384,0,0,0,0,0,3.025715384,0,0,0,0,0,3.025715384,0,0,0,0,0,3.025715384,0,1
1,23.442,36.903,18.732,42.13,17.462,333.35,347.55,307.49,180.3,329.98,1.857332496,0,0,0,0,0,1.857332496,0,0,0,0,0,1.857332496,0,0,0,0,0,1.857332496,0,5
1,26.063,36.217,21.173,47.235,22.055,375.58,334.51,337.75,197.9,413.68,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,1
1,22.782,37.122,17.167,23.275,17.837,331.75,338.9,280.67,195.6,332.88,0.903089987,0,0,0,0,0,0.903089987,0,0,0,0,0,0.903089987,0,0,0,0,0,0.903089987,0,4
1,22.793,37.133,17.178,23.168,17.808,325.48,332.63,274.4,185.1,332.59,1.477121255,0,0,0,0,0,1.477121255,0,0,0,0,0,1.477121255,0,0,0,0,0,1.477121255,0,7
1,21.93,36.943,17.312,32.908,18,299.38,347.55,274.5,179.9,348.22,2.079181246,0,0,0,0,0,2.079181246,0,0,0,0,0,2.079181246,0,0,0,0,0,2.079181246,0,5
1,22.742,37.082,17.127,23.153,17.815,328.54,335.69,277.46,185.1,348.12,3.204119983,0,0,0,0,0,3.204119983,0,0,0,0,0,3.204119983,0,0,0,0,0,3.204119983,0,4
1,23.775,34.402,18.885,25.338,19.768,344.9,314.46,310.97,191.2,375.63,3.84509804,0,0,0,0,0,3.84509804,0,0,0,0,0,3.84509804,0,0,0,0,0,3.84509804,0,6
1,21.257,36.427,16.36,32.682,17.15,293.56,324.89,257.51,171.3,336.96,3.77815125,0,0,0,0,0,3.77815125,0,0,0,0,0,3.77815125,0,0,0,0,0,3.77815125,0,6
1,22.935,37.275,17.32,23.428,18.01,331.43,338.58,280.35,195.6,351.49,0.477121255,0,0,0,0,0,0.477121255,0,0,0,0,0,0.477121255,0,0,0,0,0,0.477121255,0,4
1,21.92,37.09,17.023,25.822,17.712,314.77,346.1,278.72,181.4,349.38,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,4
1,25.835,40.175,20.22,40.463,20.91,383.82,390.97,332.74,244.8,401.3,0.602059991,0,0,0,0,0,0.602059991,0,0,0,0,0,0.602059991,0,0,0,0,0,0.602059991,0,4
1,22.243,32.78,17.242,20.825,17.233,316.78,286.34,283.02,183.7,344.36,4.602059991,0,0,0,0,0,4.602059991,0,0,0,0,0,4.602059991,0,0,0,0,0,4.602059991,0,6
1,22.717,35.877,17.82,37.347,18.61,314.56,308.7,277.4,184,356.85,4.113943352,0,0,0,0,0,4.113943352,0,0,0,0,0,4.113943352,0,0,0,0,0,4.113943352,0,4
1,22.793,37.133,17.178,23.168,17.808,325.48,332.63,274.4,185.1,332.59,1.838849091,0,0,0,0,0,1.838849091,0,0,0,0,0,1.838849091,0,0,0,0,0,1.838849091,0,7
1,22.793,37.133,17.178,23.168,17.808,325.48,332.63,274.4,185.1,332.59,1.929418926,0,0,0,0,0,1.929418926,0,0,0,0,0,1.929418926,0,0,0,0,0,1.929418926,0,7
1,22.168,37.35,16.555,23.205,17.243,321.31,353.11,265.68,200.9,339.4,3.381115081,0,0,0,0,0,3.381115081,0,0,0,0,0,3.381115081,0,0,0,0,0,3.381115081,0,7
1,23.578,36.738,18.565,27.36,19.062,335.77,329.91,299.62,190.4,354.75,0.698970004,0,0,0,0,0,0.698970004,0,0,0,0,0,0.698970004,0,0,0,0,0,0.698970004,0,4
1,22.33,37.5,16.902,23.462,17.59,318.28,348.09,268.04,200.9,338.7,3.15136985,0,0,0,0,0,3.15136985,0,0,0,0,0,3.15136985,0,0,0,0,0,3.15136985,0,5
1,22.228,37.242,17.61,33.352,18.3,305.33,353.5,280.45,190.4,351.59,3.247973266,0,0,0,0,0,3.247973266,0,0,0,0,0,3.247973266,0,0,0,0,0,3.247973266,0,5
1,21.588,36.627,16.398,31.88,17.188,297.07,327.58,254.65,180.3,325.68,4.32776749,0,0,0,0,0,4.32776749,0,0,0,0,0,4.32776749,0,0,0,0,0,4.32776749,0,8
1,26.013,39.647,21.118,32.058,21.942,368.85,372.53,326.5,210.6,402.43,1.255272505,0,0,0,0,0,1.255272505,0,0,0,0,0,1.255272505,0,0,0,0,0,1.255272505,0,5
1,26.635,37.562,21.022,43.763,21.903,384.48,368.91,331.45,232,400.64,2.954242509,0,0,0,0,0,2.954242509,0,0,0,0,0,2.954242509,0,0,0,0,0,2.954242509,0,1
1,21.862,35.495,16.967,19.822,17.757,301.57,305.25,259.22,178.4,338.67,4.294025094,0,0,0,0,0,4.294025094,0,0,0,0,0,4.294025094,0,0,0,0,0,4.294025094,0,5
1,23.673,35.158,18.062,40.94,18.942,347.75,333.67,298.6,193,371.68,4.880813592,0,0,0,0,0,4.880813592,0,0,0,0,0,4.880813592,0,0,0,0,0,4.880813592,0,6
1,24.98,36.773,20.09,45.938,20.85,369.85,359.03,333.8,228.3,402.36,4.278753601,0,0,0,0,0,4.278753601,0,0,0,0,0,4.278753601,0,0,0,0,0,4.278753601,0,6
1,22.152,37.322,16.723,23.138,17.412,315.22,345.03,264.98,190.4,338.7,3.191451014,0,0,0,0,0,3.191451014,0,0,0,0,0,3.191451014,0,0,0,0,0,3.191451014,0,5
1,22.717,35.877,17.82,37.347,18.61,314.56,308.7,277.4,184,356.85,4.113943352,0,0,0,0,0,4.113943352,0,0,0,0,0,4.113943352,0,0,0,0,0,4.113943352,0,4
1,21.55,37.285,16.667,19.83,17.355,304.69,344.7,266.18,181.4,339.8,3.477121255,0,0,0,0,0,3.477121255,0,0,0,0,0,3.477121255,0,0,0,0,0,3.477121255,0,6
